clinic,Country,Country Code,Continent,City,Location,Lat,Lng,Languages,Review Score,Total Score,Total Reviews,Source,local_currency
haroj,France,FR,Europe,Mulhouse,"2 rue Sainte-Catherine BATIMENT A - RDC, 68100 Mulhouse, France",47.74281471,7.339228729,"French, English",5,5,1,"https://www.google.com/maps/place/Haroj+clinic/@47.7426127,7.339218,682m/data=!3m2!1e3!4b1!4m6!3m5!1s0x47919bd760631ced:0xaded1e08dfc9b9c9!8m2!3d47.7426127!4d7.339218!16s%2Fg%2F11jx2n7qg5?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D",EUR
maison-lutetia,France,FR,Europe,Paris,"6 Rue Ampère, 75017 Paris, France",48.88552577,2.30611894,"French, English",4.7,5,921,"https://www.google.com/maps/place/Maison+Lut%C3%A9tia+Paris/@48.8853847,2.3035655,667m/data=!3m2!1e3!4b1!4m6!3m5!1s0x47e66ff623f3cecd:0x80f218871a6c4140!8m2!3d48.8853847!4d2.3061404!16s%2Fg%2F11btlv1mkx?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D",EUR
clinique-rivoli-massena,France,FR,Europe,Strasbourg,"41 All. de la Robertsau, 67000 Strasbourg, France",48.58936033,7.766123542,French,4.7,5,215,"https://www.google.com/maps/place/Clinique+Rivoli+Massena+-+M%C3%A9decine+Esth%C3%A9tique+-+Epilation+Laser+d%C3%A9finitive+-+Greffe+de+cheveux/@48.5892184,7.766145,671m/data=!3m2!1e3!4b1!4m6!3m5!1s0x4796c91367d7b9b3:0x59f0dedde2ecbed2!8m2!3d48.5892184!4d7.766145!16s%2Fg%2F11qmrrly07?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D",EUR
capclinic,France,FR,Europe,Marseille,"18 Rue Negresko, 13008 Marseille, France",43.27002946,5.390832602,French,4.8,5,46,https://www.google.com/maps/place/Cap'+Clinic/data=!4m2!3m1!1s0x0:0xbcb994fd3442475b?sa=X&ved=1t:2428&ictx=111,EUR
clinique-eiffel,France,FR,Europe,Paris,"6 Sq. Pétrarque, 75116 Paris, France",48.86149556,2.28213747,French,4.6,5,355,"https://www.google.com/maps/place/Clinique+Eiffel+Paris+-+Chirurgie+et+m%C3%A9decine+esth%C3%A9tique+pr%C3%A8s+du+Trocad%C3%A9ro/@48.8613756,2.2794982,667m/data=!3m2!1e3!4b1!4m6!3m5!1s0x47e66ffebce43b09:0xfb33acd7fcbc04f8!8m2!3d48.8613756!4d2.2820731!16s%2Fg%2F1tds601x?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D",EUR
doctor-and-co,France,FR,Europe,Paris,"56 Rue Michel Ange, 75016 Paris, France",48.84399741,2.260491243,French,4.9,5,221,"https://www.google.com/maps/place/Doctor+and+Co+-+M%C3%A9decine+esth%C3%A9tique+-+Greffe+de+cheveux+-+%C3%89pilation+laser+-+D%C3%A9tatouage+laser+Pico/@48.8438068,2.2577876,667m/data=!3m2!1e3!4b1!4m6!3m5!1s0x47e67bd27dffad89:0x2a28d51c13b7649!8m2!3d48.8438068!4d2.2603625!16s%2Fg%2F11h70v6vjj?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D",EUR
clinique-du-palais,France,FR,Europe,Marseille,"25 Cr Pierre Puget, 13006 Marseille, France",43.29032073,5.376050858,French,5,5,20,https://www.google.com/maps/place//data=!4m2!3m1!1s0x12c9c10025a50d45:0x61ec8552fd785cea?sa=X&ved=1t:8290&ictx=111,EUR
easygreffe,France,FR,Europe,Paris,"17 Rue de la Pompe, 75116 Paris, France",48.8599244,2.274957287,French,3.5,5,2,"https://www.google.com/maps/place/Easygreffe+Paris/@48.8598044,2.2749251,667m/data=!3m2!1e3!4b1!4m6!3m5!1s0x47e66591767db337:0xe7ebf6ca4d0a6603!8m2!3d48.8598044!4d2.2749251!16s%2Fg%2F11s3qc2121?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D",EUR
drbodnar,France,FR,Europe,Toulouse,"25 Rue d'Alsace Lorraine, 31000 Toulouse, France",43.60233477,1.445533813,French,4.7,5,491,https://www.google.com/maps/place/Martial+Bodnar+-+Surgeon/data=!4m2!3m1!1s0x0:0x3fd8585c5f0360f1?sa=X&ved=1t:2428&ictx=111,EUR
medicine-esthetique-rouen,France,FR,Europe,Rouen,"6 Pl. de la République, 76000 Rouen, France",49.43785997,1.096644085,French,,5,,"https://www.google.com/maps/place/6+Pl.+de+la+R%C3%A9publique,+76000+Rouen,+France/@49.437553,1.096687,2638m/data=!3m1!1e3!4m6!3m5!1s0x47e0de7948398635:0x7dfd8fffc9433c93!8m2!3d49.4375532!4d1.0966866!16s%2Fg%2F11c22893d9?hl=en&entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D",EUR
institut-medical-asclepios,France,FR,Europe,Bitche,"1 Av. Général de Gaulle, 57230 Bitche, France",49.05184475,7.425219002,French,4.9,5,118,https://www.google.com/maps/place/INSTITUT+M%C3%89DICAL+ASCLEPIOS+:+Expert+en+Greffe+Capillaire+et+M%C3%A9decine+Esth%C3%A9tique+pr%C3%A8s+de+Strasbourg/data=!4m2!3m1!1s0x0:0x3da7540c06dad2fa?sa=X&ved=1t:2428&ictx=111,EUR
la-microgreffe,France,FR,Europe,Villeneuve-d'Ascq,"7 Av. de Flandre, 59491 Villeneuve-d'Ascq, France",50.66392301,3.137137602,French,4.5,5,47,https://www.google.com/maps/place/Clinique+La+Microgreffe/data=!4m2!3m1!1s0x0:0xc5852a66f4ad9fb7?sa=X&ved=1t:2428&ictx=111,EUR
my-hair-medical,France,FR,Europe,Lyon,"25 Quai Antoine Riboud, 69002 Lyon, France",45.74198001,4.819134858,French,3.4,5,5,"https://www.google.com/maps/place/My+Hair+Medical/@45.7418677,4.8191134,708m/data=!3m2!1e3!4b1!4m6!3m5!1s0x47f4ea5169e8aff7:0x2d07ba9814c1173c!8m2!3d45.7418677!4d4.8191134!16s%2Fg%2F11d_ptchlr?entry=ttu&g_ep=EgoyMDI1MDExMC4wIKXMDSoASAFQAw%3D%3D",EUR
